Month,Quarter,Total_Txns,Fraud_Txns,Total_Amount,Avg_Amount,Avg_Risk,Fraud_Rate_Pct,Legit_Txns,Month_Num
January,Q1,401,36,11976603.7,29866.8421446384,25.78703241895262,8.98,365,1
February,Q1,394,28,9920647.99,25179.30961928934,25.27309644670051,7.11,366,2
March,Q1,416,31,12538521.26,30140.67610576923,25.818990384615386,7.45,385,3
April,Q2,431,25,10102641.03,23440.00238979118,24.08955916473318,5.8,406,4
May,Q2,433,32,11430133.74,26397.53750577367,25.95796766743649,7.39,401,5
June,Q2,406,37,10932474.35,26927.27672413793,25.895566502463055,9.11,369,6
July,Q3,419,42,10307684.48,24600.67894988067,26.40214797136038,10.02,377,7
August,Q3,440,25,11391461.31,25889.68479545455,25.09409090909091,5.68,415,8
September,Q3,412,32,10095325.97,24503.21837378641,24.48131067961165,7.77,380,9
October,Q4,421,36,8935968.07,21225.577363420427,25.665795724465557,8.55,385,10
November,Q4,406,35,12246657.26,30164.180443349753,25.34704433497537,8.62,371,11
December,Q4,421,25,10822312.08,25706.204465558196,23.6624703087886,5.94,396,12
